Gene	NaCl-1	NaCl-12	NaCl-24	PEG-1	PEG-12	PEG-24	ABA-1	ABA-12	ABA-24
VvPOD1	-3.603822876	-0.303694575	1.224855535	-4.052199046	-3.109242121	0.064241241	-4.339063205	-0.33633061	0.207869333
VvPOD2	-1.498430188	0.816235289	-0.528324699	-2.273805554	2.319113413	1.722775777	-5.306399028	-2.307545344	-1.049602191
VvPOD9	-2.664523343	-6.698238909	-8.368402381	-6.585200528	-0.034592946	-0.666244507	0.600893913	3.080001361	3.973420316
VvPOD10	-0.484562986	1.870475339	-4.011611733	-0.844420115	-0.021670024	0.343912966	-2.794480598	-0.538826581	6.334791504
VvPOD11	-5.111383537	0.526035846	3.447858712	-1.670285543	-3.030133565	2.714063546	-0.606427444	1.734380685	-0.018971289
VvPOD14	-2.570796549	1.008706829	5.4268714	0.640704573	-1.047345797	-0.965409915	-0.7884697	2.388901824	6.34829548
VvPOD27	-1.292497641	1.319091791	5.782986953	0.525086715	-0.580977122	-5.598803202	-6.717756907	-2.903653792	-4.547020912
VvPOD30	0.788914251	3.256036133	4.611080376	0.69800175	-5.382644018	-5.995635351	-4.721085866	-4.258619308	0.617256236
VvPOD31	-0.313526583	3.286256482	6.462501732	-6.302357992	1.314395269	4.388415225	-1.018000921	-1.697830836	-8.36752065
VvPOD32	-3.486258295	-3.200739648	-4.436711099	-8.276304986	-1.215525945	1.642143567	-3.681215795	-2.713725281	1.206761328
VvPOD24	6.959759141	7.851611873	7.91132778	1.098404884	2.433098157	6.218178531	1.664110046	0.04744632	3.34245033
VVPOD35	-0.669522186	0.197126171	0.597126425	2.206704399	-8.673214753	-7.669630845	-2.815348882	1.060288077	4.430068395
VvPOD4	3.047014654	5.692783774	7.271938106	-10.3409036	-9.273117701	6.585650544	2.724297841	-2.487269719	-0.980691037
VvPOD12	5.647325298	6.1931627	7.508784394	-7.291601181	-6.524752935	5.48562346	-2.360863368	-0.78040568	3.774939432
VvPOD13	1.46403418	2.42762671	2.568595032	-2.273226002	-0.078314463	-1.570694606	0.001877087	-1.248258233	0.992558662
VvPOD19	2.552540879	4.211402675	5.279924811	1.605619848	-3.065121969	5.924540202	0.784088462	2.381388038	3.344269126
VvPOD33	4.158140609	5.960026841	6.105008225	2.615852233	-10.44441287	-9.813927333	-1.361213856	0.986060289	-2.34125733
VvPOD34	-3.195084238	-5.268871525	-5.9936106	-5.889248112	0.127372742	-2.466315587	0.471684187	2.797234235	-0.471764071
VvPOD38	2.661409319	5.407387833	5.000238201	-9.568435033	-8.291648229	3.230500259	-2.573237102	1.060312931	0.704685847
VvPOD39	1.581279412	1.820637361	5.240381534	-1.374931018	6.070632617	5.03838346	-0.582861582	1.057381683	2.477900984
VvPOD40	2.136140605	6.374516587	8.073115449	-3.340672175	-0.974146525	3.417416037	-0.700538635	-5.461874644	2.222577413
VvPOD41	0.319091579	0.375466447	2.01310581	-1.948046584	1.286401113	-0.072398663	-2.327631731	-1.819554227	0.729914249
VvPOD6	3.447198332	2.71916463	1.124687931	3.154749698	-6.49043727	0.609336171	-0.44365044	-0.450326872	-4.345905093
VvPOD7	3.694372595	-0.29897203	0.041174353	-0.630311615	2.526431244	-2.671703908	-12.37734502	-8.287169057	-7.86655896
VvPOD8	9.023689052	9.318116288	6.006309927	-3.42046147	4.727767244	-1.925706631	-1.391589483	-0.061542511	4.280768041
VvPOD28	-1.328579803	-1.305269459	4.745171647	-6.163977039	-5.82780613	6.504000497	-0.462030411	-0.342386246	-5.879146576
VvPOD29	5.660680553	7.376376888	4.363855144	-8.867803539	-0.592168371	4.708370423	-0.00644811	-6.355331421	2.727549581
VvPOD36	6.711366435	6.331821224	4.669767162	2.333468917	1.203391701	2.334026593	-6.598558426	-4.654453278	-6.29388237
VvPOD37	-5.989192963	-1.984098434	-3.012172699	1.032587051	-4.969074249	4.023851395	-2.837667147	-3.194554965	-0.18767643
VvPOD45	-5.980083466	-1.971954346	-0.995544434	-2.959482193	-4.861400604	4.025808334	-1.630928675	-1.008020401	0.404118965
